domain,window,cases_total,cases_with_number,revenue_sales,leads_inquiries,traffic,conversion,seo_positions,ad_performance,reach_views,other
anyscreensize.com,after,4,0,0,0,0,0,0,0,0,0
anyscreensize.com,before,4,0,0,0,0,0,0,0,0,0
anyscreensize.com,today,6,0,0,0,0,0,0,0,0,0
anytime.nl,after,35,0,0,0,0,0,0,0,0,0
anytime.nl,before,31,0,0,0,0,0,0,0,0,0
ara.nl_390,today,20,0,0,0,0,0,0,0,0,0
archanahaarnack,today,3,0,0,0,0,0,0,0,0,0
artdcom.com_432,today,1,0,0,0,0,0,0,0,0,0
artdustries.com,after,2,0,0,0,0,0,0,0,0,0
artdustries.com,before,2,0,0,0,0,0,0,0,0,0
artdustries.com,today,7,0,0,0,0,0,0,0,0,0
artitex.nl,after,4,0,0,0,0,0,0,0,0,0
artitex.nl,before,4,0,0,0,0,0,0,0,0,0
artitex.nl,today,7,0,0,0,0,0,0,0,0,0
artnic.nl,after,1,0,0,0,0,0,0,0,0,0
artnic.nl,before,1,0,0,0,0,0,0,0,0,0
artnic.nl,today,1,0,0,0,0,0,0,0,0,0
artofadvertising.nl,after,15,5,0,4,0,0,0,0,0,1
artofadvertising.nl,before,4,0,0,0,0,0,0,0,0,0
artofadvertising.nl,today,15,5,0,2,0,0,0,0,0,3
arwen-witkamp,today,3,0,0,0,0,0,0,0,0,0
ascend-online.nl,after,2,0,0,0,0,0,0,0,0,0
ascend-online.nl,before,2,0,0,0,0,0,0,0,0,0
ascend-online.nl,today,10,6,2,0,0,2,0,2,0,0
asociaalmarketing.nl,after,3,0,0,0,0,0,0,0,0,0
asociaalmarketing.nl,before,4,0,0,0,0,0,0,0,0,0
asociaalmarketing.nl,today,28,10,3,4,1,2,2,4,0,0
astrolads.com,after,4,0,0,0,0,0,0,0,0,0
astrolads.com,today,24,0,0,0,0,0,0,0,0,0
atlantiscreative.nl,after,27,0,0,0,0,0,0,0,0,0
atlantiscreative.nl,before,32,2,1,0,0,0,0,0,0,1
atlantiscreative.nl,today,26,0,0,0,0,0,0,0,0,0
atypisch.nl,after,9,0,0,0,0,0,0,0,0,0
atypisch.nl,before,10,0,0,0,0,0,0,0,0,0
atypisch.nl,today,92,0,0,0,0,0,0,0,0,0
avancecommunicatie.nl,after,36,1,1,0,0,0,0,0,0,0
avancecommunicatie.nl,before,14,1,1,0,0,0,0,0,1,0
avancecommunicatie.nl,today,57,0,0,0,0,0,0,0,0,0
avantlalettre.nl,after,104,0,0,0,0,0,0,0,0,0
avantlalettre.nl,before,105,0,0,0,0,0,0,0,0,0
avantlalettre.nl,today,107,0,0,0,0,0,0,0,0,0
axioma.nl,today,19,0,0,0,0,0,0,0,0,0
baakbeeld.nl,after,5,0,0,0,0,0,0,0,0,0
baakbeeld.nl,before,13,0,0,0,0,0,0,0,0,0
baakbeeld.nl,today,5,0,0,0,0,0,0,0,0,0
baasenbaas.nl,after,341,113,0,21,21,10,0,32,39,15
