domain,window,cohort,avg_specificity,client_keys,demonstrated_combo,demonstrated_depth,hhi_channel,hhi_craft,hhi_geo,hhi_industry,hhi_job,hhi_model,hhi_stage,inc_n_stated_channel,inc_n_stated_craft,inc_n_stated_geo,inc_n_stated_industry,inc_n_stated_job,inc_n_stated_model,inc_n_stated_stage,inc_top1_channel,inc_top1_craft,inc_top1_geo,inc_top1_industry,inc_top1_job,inc_top1_model,inc_top1_stage,n_anonymous_rows,n_carried,n_case_rows,n_distinct_clients,n_dropped,n_new_clients,n_stated_channel,n_stated_craft,n_stated_geo,n_stated_industry,n_stated_job,n_stated_model,n_stated_stage,pivot_year,share_full_page,share_numeric,top1_channel,top1_craft,top1_geo,top1_industry,top1_job,top1_model,top1_stage,topbucket_channel,topbucket_craft,topbucket_geo,topbucket_industry,topbucket_job,topbucket_model,topbucket_stage,truncated
okapion.com,before,narrower,2.375,aimms;greenwheels;lvnl;qlonline;rwretailsolutions;samskip;tno;ultimo,industry+craft+job+geo,4,,0.333,0.556,0.375,1.0,1.0,1.0,,,,,,,,,,,,,,,0,,17,8,,,0,6,3,4,3,1,1,2024,0.75,0.125,,0.5,0.667,0.5,1.0,1.0,1.0,,UX/UI & interface design,Internationaal / wereldwijd,"Transport, logistics & automotive",Maatwerk software & efficiëntere processen,SaaS & software,Omvang in cijfers,True
billysantegoets,today,original340,1.0,action;blokker;caiway;canal;delta;eenvanons;finallyanagency;gemeentedenhaag;lucidmotors;philips;tvvlaanderen,craft+channel,2,0.375,1.0,0.333,,0.28,1.0,,,,,,,,,,,,,,,,0,,20,11,,,4,11,3,0,5,1,0,,0.0,0.0,0.5,1.0,0.333,,0.4,1.0,,Multi-channel & omnichannel,Campagnes & creatieve concepten,Nederland plus buurlanden,,Naamsbekendheid & zichtbaarheid,Consumentenmarkt offline,,True
blomwouter,today,original340,1.0,burobrand;debruidshoek;florablom;vanderveldenamstelveen,craft,1,,0.556,1.0,,,,,,,,,,,,,,,,,,,0,,5,4,,,0,3,1,0,0,0,0,,0.0,0.0,,0.667,1.0,,,,,,SEO & vindbaarheid,Regionaal (binnen Nederland),,,,,False
bobby-van-der-wijst-902717403,today,original340,1.943,advocatenkantoordebruyn;andcthebrandstudio;dinyvanschepen;foontelecom;fysioconsult;gooischgrut;harriebingo;hdbpartners;heteethuysje;iksmeubelstoffeerderij;innerhouseamsterdam;installatiebedrijfranzijn;itexpertsamsterdam;jacinthavanzwet;kgi;klijsenmakelaars;lauraevers;leukplekjenl;maartenworp;markbakkum;orthodontiemuseumplein;plekvoorteams;primestonedevelopment;scardola;schoolfruitnl;schuurmanskeukens;sellacapitalmanagement;shakekings;thehangout;thuisladen;vaev;wandgrimeurs;wendyvos;wijijncoaching;worpmakelaardij,craft+geo,2,,0.802,1.0,0.153,1.0,,,,,,,,,,,,,,,,,0,,39,35,,,0,9,18,28,1,0,0,,0.0,0.0,,0.889,1.0,0.214,1.0,,,,Website & webdesign,Nederlandse stad of plaats,"Construction, real estate & housing","Merk, huisstijl & verhaal",,,True
bobsimonsnl,today,original340,1.0,dotslashutrecht;forebel;futurizehospitality;gprsoftware;greentech;grootsverzekerd;intersettle;umcnl;vpsleegstandsbeheer;xipr,craft,1,,0.54,,,,,,,,,,,,,,,,,,,,0,,21,10,,,0,10,0,0,0,0,0,,0.0,0.0,,0.7,,,,,,,Branding & huisstijl,,,,,,False
bram-vermolen-05669825,today,original340,2.125,etailizecom;flooringcompany;nr1elektrischestep;nr1elektrischestepnl;vloerenbaas;vloerenbaasnl;watersports4funcom;zonnepanelenservicepuntnl,craft,1,,0.388,1.0,1.0,,,,,,,,,,,,,,,,,,0,,10,8,,,0,7,1,2,0,0,0,,0.0,1.0,,0.571,1.0,1.0,,,,,SEO & vindbaarheid,Heel Nederland (landelijk),"Construction, real estate & housing",,,,True
keenr.nl,before,control,1.0,cursusbureauphov;designa;ecostoof;erasmusacademie;style4walls,,0,1.0,0.333,,,,,,,,,,,,,,,,,,,,0,,5,5,,,1,3,0,0,0,0,0,2024,0.0,0.0,1.0,0.333,,,,,,"SEA, display & overige paid advertising",Employer branding & recruitment,,,,,,False
keenr.nl,after,control,1.0,creativelabamsterdam;kpn;mozartkliniek,craft,1,,0.556,,,,,,0,3,0,0,0,0,0,,0.667,,,,,,0,0,3,3,5,3,0,3,0,0,0,0,0,2024,0.0,0.0,,0.667,,,,,,,Website & webdesign,,,,,,False
maibru.com,after,control,3.0,foundedinfriesland;gemeentesdwestfrysln;hcscompany;merem;mirato;ontmoetelza;pharosadvocaten;sigbar;skulpt;skulptfitness,craft+job+channel+stage+geo,5,1.0,1.0,0.51,0.26,0.506,1.0,0.625,0,0,0,0,0,0,0,,,,,,,,0,10,18,10,2,0,5,9,7,10,9,1,4,2024,0.9,0.1,1.0,1.0,0.571,0.4,0.667,1.0,0.75,Website & CMS,Branding & huisstijl,Nederlandse stad of plaats,Healthcare & care,"Merk, huisstijl & verhaal","Overheid, zorg & onderwijs",Startup / jong / groeiend,False
yummygum.com,before,narrower,1.714,bizy;employes;fyngo;instantly;martingarrix;spiderstrategies;watermelon,,0,,0.306,1.0,0.333,1.0,0.5,,,,,,,,,,,,,,,,0,,7,7,,,0,7,1,3,1,2,0,2023,0.0,0.0,,0.429,1.0,0.333,1.0,0.5,,,Branding & huisstijl,Europa,"Media, culture & entertainment","Merk, huisstijl & verhaal",Gemengd,,False
houseofsocialmedia.nl,before,narrower,1.0,cluse,,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0,,1,1,,,1,1,0,0,0,0,0,2020,0.0,0.0,1.0,1.0,,,,,,Social media organisch,Social media content & beheer,,,,,,False
houseofsocialmedia.nl,after,narrower,1.0,canon;mars;raadvanstate;rtlz,channel,1,1.0,0.333,,,1.0,,,4,3,0,0,1,0,0,1.0,0.333,,,1.0,,,0,0,4,4,1,4,4,3,0,0,1,0,0,2020,0.0,0.0,1.0,0.333,,,1.0,,,Social media organisch,"Online marketing, performance & CRO",,,Personeel werven & werkgeversmerk,,,False
vormdestad.nl,today,narrower,1.091,100weeks;boonmagazine;centrumvoorjeugdengezin;gemeenteamersfoort;gemeenteamsterdam;ggdamsterdampartners;medifex;omgevingsdienstnoordzeekanaalgebied;provincieutrecht;waterschapamstelgooienvecht;zuiverekoffie,craft,1,,0.556,,1.0,,,,,,,,,,,,,,,,,,0,,28,11,,,0,3,0,1,0,0,0,2025,0.0,0.0,,0.667,,1.0,,,,,Branding & huisstijl,,Healthcare & care,,,,False
wadm.nl,today,narrower,1.5,aako;allianceautomotive;aroundrotterdam;cc7;ctac;cubecold;dct;excelsior;facetaccountants;fsrfcp;ifsultimo;keller;linkit;medigo;nautus;oceanco;partspoint;pecodouwes;pxl;rmc;softhouse;unica;vanbeest;yune,,0,,0.272,,0.18,,,1.0,,,,,,,,,,,,,,,0,,30,24,,,0,18,0,10,0,0,1,2024,0.0,0.0,,0.444,,0.3,,,1.0,,Branding & huisstijl,,"Transport, logistics & automotive",,,Groot / corporate / marktleider,False
webcrafter.nl,today,narrower,1.0,babsbonebroth;carecheck;nutribites;omega3innovations;skogen;walden,,0,1.0,0.5,,,,,,,,,,,,,,,,,,,,0,,7,6,,,2,2,0,0,0,0,0,2025,0.0,0.0,1.0,0.5,,,,,,SEO & organische vindbaarheid,Website & webdesign,,,,,,False
webelephant.nl,today,narrower,2.25,hobohifi;skiwebshop;tandwinkel;verbuntverlinden,craft,1,0.5,0.375,0.5,0.333,1.0,1.0,1.0,,,,,,,,,,,,,,,0,,11,4,,,2,4,2,3,1,1,1,2020,0.25,0.25,0.5,0.5,0.5,0.333,1.0,1.0,1.0,Multi-channel & omnichannel,Webshop & e-commerce,Heel Nederland (landelijk),"Food, beverage & agriculture",Naamsbekendheid & zichtbaarheid,Gemengd,Groot / corporate / marktleider,False
makemarketingmagic.com,after,narrower,2.333,1uurnu;2source4;appalti;dekoningvergouwenadvocaten;firm24;funke;iwell;microsoft;optimadata;psyned;roadmap;ruigroknetpanel;teampeak;ultimo;veritoinformatisering,industry+stage+geo,3,0.25,0.194,0.556,0.551,0.306,1.0,0.556,6,8,2,4,4,2,2,0.333,0.25,0.5,0.75,0.25,1.0,0.5,0,5,30,15,10,10,8,12,3,7,7,2,3,2024,0.467,0.4,0.375,0.333,0.667,0.714,0.429,1.0,0.667,Social media organisch,Strategie & advies,Internationaal / wereldwijd,"Software, IT & telecom",Naamsbekendheid & zichtbaarheid,Zakelijke afnemers (B2B),Omvang in cijfers,False
dwzo.nl,today,narrower,1.0,alonzi;archipelscholen;autoschadeteam;awnnederlandsearcheologieverenigingafdelingzeelandenwestbrabant;christenunieschouwenduiveland;citymarketingterneuzen;covra;deijsmankyssijs;dethon;elopak;euresscheldemond;evaregelt;gemeentereimerswaal;gemeentereimerswaalafdelinggemeentewerken;gemeenteschouwenduiveland;gemeenteterneuzen;ggzwnb;hydrauvision;kant;politiezeelandwestbrabant;provinciezeeland;provinciezeelandtractaatweg;respontscholengroep;scaldaprojectmit2030;smartdeltaresources;stadterneuzen;syndus;telecomsecurityzeeland;tonetime;tractaatweg;tragelzorg;uwveures;vvvzeeland;woongoedzeeuwsvlaanderen;zbplanbureauzeeland;zorggroepterweel;zorgstroom,,0,,0.197,,,,,,,,,,,,,,,,,,,,4,,45,37,,,0,34,0,0,0,0,0,2020,0.0,0.0,,0.324,,,,,,,"Grafisch ontwerp, drukwerk & print",,,,,,False
eigenz.nl,today,narrower,1.333,bronckhorst;gemeentedeventer;nationalepolitie,,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,3,,8,3,,,0,2,0,0,1,0,0,2022,0.333,0.0,,1.0,,,1.0,,,,"Video, animatie & fotografie",,,Bewustwording & gedragsverandering,,,True
elevendigital.nl,today,narrower,1.855,42workspace;aircruisecollection;anywhere365;attentives;blauwhoed;boekvoormannen;burgernet;captains;code;collectioneursnl;crlia;cygnus;deburgemeesters;decoulissen;deltafibernederland;demarketingninja;designup;dezakelijkewebsite;dotbusiness;eastnomads;edendistrict;eelcosmit;eimerseiland;ekomenu;energyfloors;gerrardstreet;glazendouchedeurennl;heilijgers;interhome;internetapplications;inwork;jackbean;jobboostio;jobpromo;kameryck;kruiswijk;marketingguys;masccompany;mijnhoutenjaloezieennl;mijnraamdecoratienl;mogelijk;mogelijkvastgoedfinanciering;museumdepotshopnl;nextbuzz;ortec;pointofview;reclamebureau390;smaakschiedam;stackrotterdam;trustenl;vindability;vivaranl;webleaders;wijzeroverdebassischoolnl;zantman,craft,1,,0.375,,0.188,,,,,,,,,,,,,,,,,,0,,56,55,,,0,4,0,38,0,0,0,2024,0.0,0.0,,0.5,,0.316,,,,,Online adverteren (paid ads),,"Construction, real estate & housing",,,,False
flink.nl,today,narrower,1.222,amsta;arbeidsmarktfondsfcb;barkeuropa;eervolharding;europeanlotteries;eventsnl;fcb;goudappel;hanab;hendrickdekeysermonumenten;houseoftalents;madurodam;mijnwebwinkel;planbureauvoordeleefomgeving;prowareness;snp;staedion;thehaguepartners,craft,1,,0.355,,0.333,,,,,,,,,,,,,,,,,,29,,52,18,,,0,11,0,3,0,0,0,2024,0.0,0.0,,0.545,,0.333,,,,,Website & webdesign,,Government & public sector,,,,False
freshheads.com,today,narrower,1.158,achmea;actiefwerkt;akwaggz;appjection;becxverhuur;centraalbeheer;cocoroco;energiek;haskoning;ofed;quiet;quista;roancampingholidays;serviceapotheek;skilz;standbythuiszorg;stichtingquiet;tbi;youngones,craft,1,,0.578,0.5,,,,1.0,,,,,,,,,,,,,,,0,,23,19,,,0,16,2,0,0,0,1,2025,0.0,0.158,,0.75,0.5,,,,1.0,,Apps & maatwerk platforms,Regionaal (binnen Nederland),,,,Omvang in cijfers,True
vonc.nl,after,narrower,0.96,ctnet;defryskemarren;duravermeer;gemeentedefryskemarren;gemeenteheerenveen;gemeentehethogeland;gemeentepekela;gemeentezwolle;ggdfrysln;groningenspoorzone;life;miedemabouwmaterialen;nijestee;personeelhuurders;provinciefrysln;provinciegroningen;rdw;reales;regiodealzuidoostfriesland;regionaleenergiestrategie;schuttebouwontwikkeling;sinnekinderopvang;vanideenaarbladnaardeurmat;waterschapvechtstromen;zorggroepmeander,,0,,0.415,,,,,,0,9,0,0,0,0,0,,0.556,,,,,,1,16,40,25,2,9,0,21,0,0,0,0,0,2023,0.0,0.0,,0.476,,,,,,,Strategie & advies,,,,,,False
vormdestad.nl,before,narrower,1.0,100weeks;boonmagazine;bouwexpo;centrumvoorjeugdengezin;deopenbarebibliotheekamsterdam;fietsparkeren;gemeenteamsterdam;hopmagazine;kookboekamsterdamzuidoost;moraalmeesters;omgevingsdienstnoordzeekanaalgebied;openbarebibliotheekamsterdam;opwegnaarutrecht;participatiegemeenteamsterdam;provincieutrecht;vrijheidopdedam,craft,1,,0.455,,,,,,,,,,,,,,,,,,,,0,,25,16,,,0,11,0,0,0,0,0,2025,0.0,0.0,,0.636,,,,,,,Branding & huisstijl,,,,,,False
upside.nl,before,narrower,2.154,charcodique;eerstehulpbenjij;info;kinwell;lifely;nexler;remails;rtrn;stonecycling;theministryofcompliance;umon;veiligheidsregiogroningen;wolterinck,craft+job+geo,3,1.0,1.0,1.0,0.21,0.375,0.5,,,,,,,,,,,,,,,,5,,31,13,,,2,11,3,9,4,2,0,2024,0.231,0.154,1.0,1.0,1.0,0.333,0.5,0.5,,SEO & organische vindbaarheid,Website & webdesign,Regionaal (binnen Nederland),"Software, IT & telecom",Website verouderd of nieuw nodig,Webshop consumenten (D2C),,True
npncommunicatie.nl,before,narrower,1.333,neocare;sanofi;tramedico,,0,,,,1.0,,,,,,,,,,,,,,,,,,0,,3,3,,,0,0,0,1,0,0,0,2024,0.0,0.0,,,,1.0,,,,,,,Healthcare & care,,,,False
npncommunicatie.nl,after,narrower,1.0,gpssystems,,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,0,1,1,3,1,0,0,0,0,0,0,0,2024,0.0,0.0,,,,,,,,,,,,,,,False
rik.marketing,before,control,3.5,christenenvoorisral;hourofpower;isralproductencentrum;nederlandsdagblad,job+channel,2,0.556,0.25,,1.0,0.375,,,,,,,,,,,,,,,,,0,,4,4,,,3,4,0,1,4,0,0,2023,1.0,1.0,0.667,0.25,,1.0,0.5,,,"SEA, display & overige paid advertising",Campagnes & creatieve concepten,,"Media, culture & entertainment","Meer leads, aanvragen & verkoop",,,False
lvb.nl,after,control,1.0,abeos;dekindertelefoon;financialfocus;hotelcasa;mboamersfoort;philadelphia;royaalapeldoorn;skillslab;techgags;topicus;wehkamp,,0,1.0,0.219,,,,,,1,4,0,0,0,0,0,1.0,0.5,,,,,,57,7,76,11,5,4,2,8,0,0,0,0,0,2022,0.0,0.0,1.0,0.25,,,,,,Social media organisch,Social media content & beheer,,,,,,True
bente-van-de-plassche,today,original340,1.0,etos;tmofashionbusinessschool;yourneon,,0,1.0,0.333,,,,,,,,,,,,,,,,,,,,0,,3,3,,,1,3,0,0,0,0,0,,0.0,0.0,1.0,0.333,,,,,,"SEA, display & overige paid advertising",Online adverteren (paid ads),,,,,,False
benvanluttikhuizen,today,original340,1.667,bruko;drieklompmagazine;libraenergy,,0,0.333,0.333,,,,,,,,,,,,,,,,,,,,0,,3,3,,,3,3,0,0,0,0,0,,0.0,0.667,0.333,0.333,,,,,,"SEA, display & overige paid advertising",Online adverteren (paid ads),,,,,,True
bertjanvanrein,today,original340,2.0,rgotools,,0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,0,,2,1,,,1,1,0,1,1,0,0,,0.0,0.0,1.0,1.0,,1.0,1.0,,,"E-mail, CRM & marketing automation","E-mailmarketing, automation & funnels",,Retail & e-commerce (general consumer goods),Maatwerk software & efficiëntere processen,,,False
bertwisniewski,today,original340,1.429,bpdgebiedsontwikkeling;covebo;deloitte;groningen;houseofcovebo;legerdesheils;texels,job,1,,0.28,0.5,0.5,0.68,,,,,,,,,,,,,,,,,0,,12,7,,,0,5,2,2,5,0,0,,0.0,0.0,,0.4,0.5,0.5,0.8,,,,Branding & huisstijl,Regionaal (binnen Nederland),Healthcare & care,"Merk, huisstijl & verhaal",,,True
biancaroelandschap,today,original340,1.0,achmea,,0,,1.0,,,,,,,,,,,,,,,,,,,,0,,1,1,,,0,1,0,0,0,0,0,,0.0,0.0,,1.0,,,,,,,Strategie & advies,,,,,,False
accentinteractive.nl,today,narrower,1.55,aviapartner;diverseecommercepartijen;dochorse;drvanderhoog;gemeentemaashorst;groenehartscholen;invitaarbo;kidsrights;lumeco;marlieenfelice;marliefelice;ntrnpo3;outletkantoormeubels;schooltv;stichtingvolant;tanitaeurope;verfboetiek;vitaminesperpost;vmdkoster;vpro,channel,1,0.802,0.296,,0.273,0.5,,,,,,,,,,,,,,,,,0,,29,20,,,9,19,0,11,2,0,0,2025,0.0,0.05,0.889,0.421,,0.455,0.5,,,Webshop & e-commerceplatform,Webshop & e-commerce,,Retail & e-commerce (general consumer goods),Personeel werven & werkgeversmerk,,,True
astrolads.com,today,narrower,1.533,aantafel;bobkob;bouwverhalen;dealenmetdedood;endogirlies;liveabove;natuurlijkdeelmobiliteit;nederlandseschoolvooropenbaarbestuur;nklnederland;normalemensenbestaanniet;raadvoordeleefomgevingeninfrastructuur;rathenauinstituut;stichtingnadeoorlog;uitdeschool;verenigingelektrischerijders,craft+channel,2,1.0,1.0,1.0,0.188,,,,,,,,,,,,,,,,,,0,,24,15,,,7,7,2,8,0,0,0,2024,0.0,0.0,1.0,1.0,1.0,0.25,,,,"Content, video & PR","Video, animatie & fotografie",Heel Nederland (landelijk),Education & childcare,,,,True
barneymedia.nl,today,narrower,1.0,arcelormittalconstruction;hbnergiessen;heilig;intercabletools;johanneshbnergiessen;lantor;niverplast;sensorpartners;wemo;yonglieurope,craft+model,2,1.0,0.625,1.0,,,1.0,,,,,,,,,,,,,,,,0,,11,10,,,2,4,1,0,0,3,0,2021,0.0,0.0,1.0,0.75,1.0,,,1.0,,Multi-channel & omnichannel,"Online marketing, performance & CRO",Internationaal / wereldwijd,,,Zakelijke afnemers (B2B),,True
bbld.nl,today,narrower,1.75,crow;stichtingsamenwerkendepoisnederland;vaess;ziekenhuisstjansdal,craft,1,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,1,,6,4,,,0,4,0,2,1,0,0,2023,0.25,0.0,,1.0,,0.5,1.0,,,,Branding & huisstijl,,Healthcare & care,"Merk, huisstijl & verhaal",,,False
begradient.com,today,narrower,1.625,aelio;bamukireland;channable;hallo;hostnet;lismanforklifts;loyalis;theemployment,craft+job+channel,3,0.625,0.375,1.0,,0.388,,,,,,,,,,,,,,,,,7,,16,8,,,4,4,1,0,7,0,0,2023,0.0,0.625,0.75,0.5,1.0,,0.571,,,"E-mail, CRM & marketing automation","E-mailmarketing, automation & funnels",Specifiek buitenland,,Maatwerk software & efficiëntere processen,,,False
natwerk.nl,after,control,1.067,artis;asa;bitonic;caiway;crocs;dirkvandenbroek;febo;foxit;guidinc;mauritshuis;nationalevacaturebank;tikkie;vedett;younited;zilverenkruis,,0,,0.2,1.0,1.0,1.0,,,0,2,1,0,0,0,0,,0.5,1.0,,,,,0,7,15,15,10,8,0,5,2,1,1,0,0,2023,0.0,0.0,,0.2,1.0,1.0,1.0,,,,Strategie & advies,Nederlandse stad of plaats,"Media, culture & entertainment","Meer leads, aanvragen & verkoop",,,False
nedfinity.com,before,narrower,1.933,ambulanceijsselland;avogel;countus;ffwd;ggdnoordoostgelderland;neolac;nijlaircraftdocking;omnilabel;powned;slippersnl;sport050;totaalbed;wagenplan;wateronthardercom;williamscocktails,channel,1,0.375,0.339,0.36,0.112,0.5,1.0,0.333,,,,,,,,,,,,,,,0,,15,15,,,8,11,5,14,2,1,3,2023,0.0,0.0,0.5,0.364,0.4,0.143,0.5,1.0,0.333,Webshop & e-commerceplatform,Webshop & e-commerce,Regionaal (binnen Nederland),Manufacturing & industrial,Webshop & online verkoop,Zakelijke afnemers (B2B),Omvang in cijfers,True
huiscommunicatie.nl,after,narrower,1.412,alfrinkcollege;almeersescholen;askoscholen;buitenhoutcollege;buitenplaatsnassaupark;cbsdeark;daltonschooldebranding;debranding;deeinsteinschool;drjpheijeschool;expertisepuntlob;federatieopenbaaronderwijs;flevowijs;floreer;gemeenteamstelveen;goflowtechnology;ijwegschool;ikcdeark;ikcdelente;ikchetkristal;ikcwaterrijk;isendoorncollege;julianavanstolbergschool;katholiekebasisschooldeelzenhoek;kiesjeschoolinalmere;kindcentrumdevindplaats;kindcentrumo3;kindcentrumvroondaal;kindercampusmokum;klavertjevier;kopklasamsterdam;leidseschoolbesturen;levwn;maxxonderwijs;meerprimair;onderwijsgroepamstelland;onderwijsgroepoostbrabant;onderwijsstichtingdepeel;oosterlichtcollege;oosterlichtcollegenieuwegein;oosterlichtcollegevianen;opleidingsschooldedam;poraad;rgomiddelharnis;rijnlandslyceum;rijnlandslyceumsassenheim;scalacollege;scholengroepdelangstraat;scholengroepleonardodavinci;scodelft;stanislascollege;stichtingkopwerk;stichtingkopwerkschooltij;stichtingpcpocapellekrimpen;stichtingpeuterspeelzalenleiden;stichtingschoollelystad;stichtingzonova;svwam;swvam;talentprimair;tendercollege;trinitasgymnasium;versluisgroep;vvob;walewycmavo;wedenhertogschool;wereldkidz;werkplaatskindergemeenschap,industry+stage+geo,3,0.319,0.135,0.885,0.792,0.256,,0.5,7,41,39,12,8,0,4,0.571,0.293,0.923,0.917,0.5,,1.0,1,0,112,68,0,68,12,48,49,17,11,0,6,2020,0.103,0.044,0.417,0.229,0.939,0.882,0.364,,0.667,Offline media & events,"Grafisch ontwerp, drukwerk & print",Nederlandse stad of plaats,Education & childcare,"Leden, leerlingen & donateurs werven",,Omvang in cijfers,False
ilerimedia.nl,before,control,1.0,arkvannoach;atasnederland;nederlandseedelmetaalhandel;shopotheek,craft+channel,2,0.556,0.625,,,,,,,,,,,,,,,,,,,,0,,4,4,,,3,4,0,0,0,0,0,2020,0.0,0.0,0.667,0.75,,,,,,SEO & organische vindbaarheid,Website & webdesign,,,,,,False
helloitsme.online,after,control,3.0,cottondistrict;febo;unit4bedrijfssoftware,channel,1,1.0,0.333,,0.5,0.5,,1.0,1,1,0,0,0,0,0,1.0,1.0,,,,,,0,2,5,3,5,1,3,3,0,2,2,0,1,2020,0.667,0.667,1.0,0.333,,0.5,0.5,,1.0,"SEA, display & overige paid advertising",Campagnes & creatieve concepten,,"Fashion, beauty & personal goods",Advertenties & campagnes renderen niet,,Omvang in cijfers,False
sigmasolutions.nl,after,narrower,1.478,airportparkingnl;alkhamodes;art1nhn;beacheventcom;blijdesteijn;cafenoir;cbmprinting;chiquefashion;dehoogewaerder;delacruz;eethuismer;eriks;fastcardsnl;fifty8;friederichs;gerrutcamaro;girlsboys;groenmeesters;handicaretrapliften;hapjesaanhuis;helpid4kids;hetlangedijkerbed;intratuingroenprojecten;liefleukeneigennl;mijnzuidafrika;ontwikkelingsbedrijfnoordhollandnoord;oolegal;panisanitair;parfumerielabrune;patchmanager;purehaircareconcepts;qkachelsnl;rentadriver;ruitershopsuperstore;siliakuscom;smooff;televakcenters;tobesharednl;triumphmotorcyclesbenelux;triumphmotorsthomas;trodatbenelux;tsjipgeboortekaartjesnl;tuufsworld;youbegreen;youngart;zelfkaartjesnl,,0,0.28,0.33,0.256,0.198,1.0,0.5,,5,38,11,22,1,2,0,0.4,0.447,0.273,0.318,1.0,0.5,,0,0,46,46,0,46,5,38,11,22,1,2,0,2010,0.0,0.0,0.4,0.447,0.273,0.318,1.0,0.5,,Website & CMS,Website & webdesign,Specifiek buitenland,"Fashion, beauty & personal goods",Website verouderd of nieuw nodig,Webshop consumenten (D2C),,False
smaac.nl,before,narrower,3.333,danone;elvedes;frommars,,0,1.0,0.333,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,0,,3,3,,,1,3,1,2,1,1,0,2023,1.0,0.333,1.0,0.333,1.0,0.5,1.0,1.0,,Website & CMS,Website & webdesign,Internationaal / wereldwijd,"Food, beverage & agriculture","Merk, huisstijl & verhaal",Zakelijke afnemers (B2B),,False
amandapolling,today,original340,1.0,deduinpan;interplanprojecten;jongerotten;life4hsp;loravie;mbidesteenmeesters;nieuwenhuisbuitenleven;osborneclarke;terschelling,,0,,,,,,,,,,,,,,,,,,,,,,0,,9,9,,,0,0,0,0,0,0,0,,0.0,0.0,,,,,,,,,,,,,,,True
ancovangeffen,today,original340,1.222,aedprofessionals;feddevertaalt;haevn;highimpactcoaching;mdp;movida;poviskassasystemen;technowacht;vanliercatering,job,1,0.28,0.222,1.0,,0.375,,,,,,,,,,,,,,,,,0,,14,9,,,5,6,1,0,4,0,0,,0.0,0.222,0.4,0.333,1.0,,0.5,,,SEO & organische vindbaarheid,Strategie & advies,Heel Nederland (landelijk),,"Meer leads, aanvragen & verkoop",,,True
annikarettig,today,original340,1.1,balanstri;cavalor;doderm;florispharma;grandprixsales;grasdrogerijhartog;kwpn;ldhoefverzorgingcentrumvoorhoefgezondheid;mphorses;thehorsupcompany,,0,0.25,0.14,0.5,,,,,,,,,,,,,,,,,,,4,,16,10,,,4,10,2,0,0,0,0,,0.0,0.0,0.25,0.2,0.5,,,,,Social media organisch,Social media content & beheer,Nederland plus buurlanden,,,,,True
anoir-bensalah-5a4a9477,today,original340,1.0,casaron;coteso;crowncasa;estesonic;europarfums;facetasticclinic;houseoffootwear;houseofstreetwear;merrachi;natuursteentafels;nounagency;rdshowcaseproductnature;reformdao;theluxurydoctor;thrivv;trinna;veloiregallery;verhuisservice24,,0,,0.179,,,,,,,,,,,,,,,,,,,,0,,28,18,,,0,18,0,0,0,0,0,,0.0,0.0,,0.222,,,,,,,Branding & huisstijl,,,,,,False
anthonyprokos,today,original340,1.083,action;alphatronmedical;bissell;brederbv;deevenaar;dokteronline;elysion;garnier;gpelite;kernbouw;kimberlyclark;krastase;larocheposay;loralparis;nespresso;pingproperties;porsche;tamoil;thehakokosbrood;vanquishyachts;vichy;wajer;wilgenhaege;yamaha,craft,1,,0.375,,0.5,,,,,,,,,,,,,,,,,,0,,42,24,,,0,4,0,2,0,0,0,,0.0,0.0,,0.5,,0.5,,,,,Branding & huisstijl,,Manufacturing & industrial,,,,False
digitaaldoen.nl,today,narrower,1.333,antipestcontrol;copywritingvoorondernemers;kotatsu,,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,12,,18,3,,,1,1,0,0,0,0,0,2023,0.0,0.333,1.0,1.0,,,,,,"Branding, campagne & activatie",Campagnes & creatieve concepten,,,,,,False
digitalnatives.nl,today,narrower,1.556,amsterdamsmartcity;artezuniversityofthearts;digitaaltheater;europeanassociationofurology;gladwellacademy;hetnederlandsfilmfonds;hogeschoolderkunstendenhaag;hotelschoolthehague;joodscultureelkwartier;lawyerlinq;medpeers;npocultuurmasterclass;regiobank;stimuleringsfonds;thejuly;voordekunst;vriendvandeshow;wearepublic,craft+stage,2,0.5,0.358,0.306,0.28,,,0.625,,,,,,,,,,,,,,,0,,22,18,,,2,18,7,5,0,0,4,2020,0.0,0.278,0.5,0.556,0.429,0.4,,,0.75,Apps & custom platforms,Apps & maatwerk platforms,Heel Nederland (landelijk),Business & professional services,,,Omvang in cijfers,True
doelgroepbereikt.nl,today,narrower,1.0,basroering;dennisdewilde;hooikammer;maaikepraamstra;rienekedehaan;samjellegentner;stephaniedegoeijen,craft+channel,2,0.625,0.44,,,1.0,,,,,,,,,,,,,,,,,0,,7,7,,,4,5,0,0,1,0,0,2022,0.0,0.0,0.75,0.6,,,1.0,,,Social media organisch,Social media content & beheer,,,Beter vindbaar in Google,,,True
