domain,window,cohort,avg_specificity,client_keys,demonstrated_combo,demonstrated_depth,hhi_channel,hhi_craft,hhi_geo,hhi_industry,hhi_job,hhi_model,hhi_stage,inc_n_stated_channel,inc_n_stated_craft,inc_n_stated_geo,inc_n_stated_industry,inc_n_stated_job,inc_n_stated_model,inc_n_stated_stage,inc_top1_channel,inc_top1_craft,inc_top1_geo,inc_top1_industry,inc_top1_job,inc_top1_model,inc_top1_stage,n_anonymous_rows,n_carried,n_case_rows,n_distinct_clients,n_dropped,n_new_clients,n_stated_channel,n_stated_craft,n_stated_geo,n_stated_industry,n_stated_job,n_stated_model,n_stated_stage,pivot_year,share_full_page,share_numeric,top1_channel,top1_craft,top1_geo,top1_industry,top1_job,top1_model,top1_stage,topbucket_channel,topbucket_craft,topbucket_geo,topbucket_industry,topbucket_job,topbucket_model,topbucket_stage,truncated
bigbirdmedia.nl,before,control,2.412,autobedrijfvanempel;bamimagazine;berenhuis;beweegenspeel;beweegspeel;bluemonkeys;change;deeweedee;dginfratechniek;dormi;dormidesignvloeren;doughit;gemeentesintmichielsgestel;jorisvanroosmalen;openbedrijvenroute;stichtingberenhuis;wegwijs,craft+job+channel+geo,4,0.625,0.76,0.52,0.181,0.333,0.36,1.0,,,,,,,,,,,,,,,0,,34,17,,,4,15,5,12,6,5,2,2025,0.706,0.0,0.75,0.867,0.6,0.25,0.5,0.4,1.0,Social media organisch,Branding & huisstijl,Regionaal (binnen Nederland),"Construction, real estate & housing","Merk, huisstijl & verhaal",Consumentenmarkt offline,Familiebedrijf / gevestigd met historie,False
53gradennoord.nl,after,control,1.0,abtexel;desupermarkt;detexelse;jumbotexel;koogerrestaurant;peekaanzee;texelse,craft,1,,1.0,,,,,,0,5,0,0,0,0,0,,1.0,,,,,,1,1,11,7,25,6,0,6,0,0,0,0,0,2025,0.0,0.0,,1.0,,,,,,,"Grafisch ontwerp, drukwerk & print",,,,,,True
7w-internetmarketing.nl,before,control,1.1,aankoophuis;beverwijksebazaar;intersafe;onnevandestadtrecycling;parrwonen;porsche;royalmandarin;schonevloerennl;shirtsupplier;topkoeriers,craft,1,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0,,18,10,,,0,8,1,1,0,0,0,2023,0.0,0.0,,1.0,1.0,1.0,,,,,"Online marketing, performance & CRO",Nederlandse stad of plaats,Retail & e-commerce (general consumer goods),,,,True
7w-internetmarketing.nl,after,control,1.1,aankoophuis;beverwijksebazaar;intersafe;onnevandestadtrecycling;parrwonen;porsche;royalmandarin;schonevloerennl;shirtsupplier;topkoeriers,craft,1,,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,,,,,,,,0,10,18,10,0,0,0,8,1,1,0,0,0,2023,0.0,0.0,,1.0,1.0,1.0,,,,,"Online marketing, performance & CRO",Nederlandse stad of plaats,Retail & e-commerce (general consumer goods),,,,True
digitalguys.nl,after,control,1.125,dezorgstrategen;luitenfruit;robertmuntel;rsmediaworks;terrazzotuinmeubels;tonerstore;twentskerstpakket;zonex,craft,1,,0.5,,,,1.0,,0,5,0,0,0,1,0,,0.6,,,,1.0,,0,1,8,8,3,7,0,6,0,0,0,1,0,2022,0.0,0.125,,0.667,,,,1.0,,,Website & webdesign,,,,Webshop consumenten (D2C),,True
digitalinside.nl,after,control,1.0,anneketeheuxdalstra;martinvanhell;paulvv,,0,1.0,0.5,,,,,,1,2,0,0,0,0,0,1.0,0.5,,,,,,0,0,3,3,0,3,1,2,0,0,0,0,0,2015,0.0,0.0,1.0,0.5,,,,,,SEO & organische vindbaarheid,Strategie & advies,,,,,,True
digitalnatives.nl,before,narrower,1.0,brainwash;cultuur;dimdocs;fairwearfoundation;gemeenteamsterdam;greenhome;hogeschoolderkunstendenhaag;managementsite;regiobank;sintmaartenskliniek;spaces;voordekunst;vrijnederland;wemakethecity,craft,1,,0.431,0.5,,,1.0,,,,,,,,,,,,,,,,0,,14,14,,,0,12,2,0,0,1,0,2020,0.0,0.0,,0.583,0.5,,,1.0,,,Apps & maatwerk platforms,Heel Nederland (landelijk),,,SaaS & software,,False
digitalnatives.nl,after,narrower,1.0,amsterdamsmartcity;stimuleringsfonds;voordekunst,craft,1,,1.0,0.5,,,1.0,,0,2,1,0,0,0,0,,1.0,1.0,,,,,0,1,3,3,13,2,0,3,2,0,0,1,0,2020,0.0,0.0,,1.0,0.5,,,1.0,,,Apps & maatwerk platforms,Nederlandse stad of plaats,,,SaaS & software,,False
chunkagency.com,before,control,1.846,carelastin;carelastinviatris;cb12;google;googlenortherneurope;hollandsnieuwe;jdepeetscompany;mylanthenetherlands;nationalenederlanden;pickwick;randstad;shengli;vodafonethenetherlands,craft+geo,2,0.5,0.383,0.44,0.28,0.28,,1.0,,,,,,,,,,,,,,,11,,30,13,,,2,9,5,5,5,0,2,2024,0.462,0.0,0.5,0.556,0.6,0.4,0.4,,1.0,Offline media & events,Branding & huisstijl,Heel Nederland (landelijk),Healthcare & care,"Merk, huisstijl & verhaal",,Groot / corporate / marktleider,True
brandbits.nl,before,control,1.667,bats;borgconsulting;botanicbubble;gemeentemoerdijk;grashaag;jamoneria;lorenzadviesbureau;nxtmoerdijk;yourfellow,,0,,0.5,,0.25,,1.0,,,,,,,,,,,,,,,,0,,10,9,,,0,2,0,4,0,1,0,2025,0.0,0.0,,0.5,,0.25,,1.0,,,Branding & huisstijl,,Government & public sector,,Webshop consumenten (D2C),,True
brandbits.nl,after,control,2.0,businessparkaviolanda;connectingprocesses;gemeentemoerdijk;rewin;visitmoerdijk,,0,,,,0.36,,,,0,0,0,4,0,0,0,,,,0.5,,,,0,1,5,5,8,4,0,0,0,5,0,0,0,2025,0.0,0.0,,,,0.4,,,,,,,Manufacturing & industrial,,,,False
alonamarketing.nl,before,control,2.308,akentuynkamer;budgetinsulationshop;budgetisolatieshop;floorheatingcuijk;gardenroom;gjdhrpartner;houthandeljelsan;misterkools;succlean;timbertradejelsan;vanakenschroeffunderingen;vanakenscrewfoundations;vloerverwarmingcuijk,industry+job,2,0.278,0.347,1.0,0.5,0.375,1.0,,,,,,,,,,,,,,,,12,,37,13,,,6,7,1,6,4,1,0,2025,0.308,0.538,0.333,0.429,1.0,0.667,0.5,1.0,,"SEA, display & overige paid advertising",Website & webdesign,Nederland plus buurlanden,"Construction, real estate & housing","Meer leads, aanvragen & verkoop",Webshop consumenten (D2C),,True
contentvorm.nl,before,control,1.0,cultuurbreda;haansbergettenleur,,0,,,,,,,,,,,,,,,,,,,,,,1,,3,2,,,0,0,0,0,0,0,0,2025,0.0,0.0,,,,,,,,,,,,,,,True
contentvorm.nl,after,control,1.0,algemeennederlandspersbureau;cultuurbreda;degroteclubactie;leidingenstraatnederland;lenovo;midzuid,,0,,0.278,,,,,,0,5,0,0,0,0,0,,0.4,,,,,,5,1,11,6,1,5,0,6,0,0,0,0,0,2025,0.0,0.0,,0.333,,,,,,,"Video, animatie & fotografie",,,,,,True
contentxperience.nl,before,narrower,1.25,bechtle;beursvanberlage;dynniq;sweetpoint,,0,,0.333,,1.0,,,,,,,,,,,,,,,,,,0,,4,4,,,0,3,0,1,0,0,0,2020,0.0,0.0,,0.333,,1.0,,,,,Website & webdesign,,"Food, beverage & agriculture",,,,True
contentxperience.nl,after,narrower,1.0,beachhaldidam;beursvanberlage;copaco;flexyz,,0,0.5,0.333,,,,,,2,3,0,0,0,0,0,0.5,0.333,,,,,,0,1,4,4,3,3,2,3,0,0,0,0,0,2020,0.0,0.0,0.5,0.333,,,,,,Apps & custom platforms,Campagnes & creatieve concepten,,,,,,True
conversiepartners.nl,before,narrower,2.75,fit4lady;gladwellacademy;knippingkozijnen;shootmyfood,industry+craft+channel+stage,4,0.625,0.375,,0.375,,,0.556,,,,,,,,,,,,,,,0,,4,4,,,4,4,0,4,0,0,3,2023,0.0,0.75,0.75,0.5,,0.5,,,0.667,"SEA, display & overige paid advertising",Campagnes & creatieve concepten,,Education & childcare,,,Groot / corporate / marktleider,False
greencreatives.nl,before,control,1.0,floccus;loptimize;stoked,craft,1,,1.0,,,,,,,,,,,,,,,,,,,,0,,3,3,,,0,3,0,0,0,0,0,2024,0.0,0.0,,1.0,,,,,,,Branding & huisstijl,,,,,,False
flatlineagency.com,before,narrower,1.833,bud;justeattakeaway;mgmotor;mystic;northactionsports;vanilia,,0,1.0,0.278,1.0,0.28,,,,,,,,,,,,,,,,,,10,,19,6,,,2,6,1,5,0,0,0,2023,0.0,0.0,1.0,0.333,1.0,0.4,,,,Webshop & e-commerceplatform,Website & webdesign,Europa,"Food, beverage & agriculture",,,,True
deindruk.nl,before,control,3.25,bartimusfonds;boschbeton;gemeenteede;masugro;rstzorgverleners;snelstart;svland;zorggroepsirjon,model+stage+geo,3,0.265,0.188,0.389,0.184,0.125,0.556,0.625,,,,,,,,,,,,,,,0,,40,8,,,7,8,6,7,8,3,4,2024,1.0,0.375,0.286,0.25,0.5,0.286,0.125,0.667,0.75,"E-mail, CRM & marketing automation",Strategie & advies,Heel Nederland (landelijk),Healthcare & care,Lancering nieuw product of concept,Zakelijke afnemers (B2B),Omvang in cijfers,False
groovedigital.agency,after,control,1.786,absstuurapparaten;ambiancewellness;boostix;castaneabedrijfsmakelaars;credomarketing;cybercapital;dameaandekade;getstreamed;gho;ghoagency;grem;gremindex;ilceurope;keepmovingtheagency;malvaamsterdam;mijnracketnl;netpack;neuroo;noordcoffee;noordcoffeeroasters;restaurantshun;skiraarte;sneppies;thehubrealestate;thehubrealestatexcastanea;vsnzevenementen;vsnzevents;winand,craft+job+model,3,0.284,0.389,0.36,0.19,0.389,0.375,,2,5,2,4,2,2,0,0.5,1.0,0.5,0.5,1.0,0.5,,0,0,89,28,14,28,9,12,5,11,6,4,0,2024,0.393,0.0,0.444,0.583,0.4,0.364,0.5,0.5,,Website & CMS,Website & webdesign,Nederlandse stad of plaats,"Hospitality, tourism, sports & recreation",Website verouderd of nieuw nodig,Zakelijke afnemers (B2B),,True
blok56.nl,before,control,2.444,1storage;bjsteeldesign;braverecruitment;degooijkamer;greendustry;jkbhandling;koeriersteuten;lexavia;lifeandnewborncoaching;marianneconfuso;mariellevanhoef;markvandersteeg;osteodoc;patrickgeelen;peetersduurzaam;pluscatering;pwbewindvoering;sandrabongaerts,craft+job+channel+geo,4,0.344,0.52,0.417,0.133,0.44,1.0,1.0,,,,,,,,,,,,,,,0,,20,18,,,8,15,12,14,5,1,1,2025,0.667,0.0,0.5,0.667,0.583,0.214,0.6,1.0,1.0,SEO & organische vindbaarheid,Branding & huisstijl,Nederlandse stad of plaats,Business & professional services,"Merk, huisstijl & verhaal",Gemengd,Klein / zelfstandig,False
doelgroepbereikt.nl,before,narrower,1.333,autotaalglasheerenveen;mutasport;subhaningenieursbureau,channel,1,1.0,0.333,1.0,1.0,,0.5,,,,,,,,,,,,,,,,0,,3,3,,,3,3,1,1,0,2,0,2022,0.0,0.0,1.0,0.333,1.0,1.0,,0.5,,Social media organisch,Website & webdesign,Nederlandse stad of plaats,"Fashion, beauty & personal goods",,Gemengd,,True
